-----------  Configuration Arguments -----------
adam_epsilon: 1e-06
batch_size: 16
device: gpu
learning_rate: 4e-05
logging_steps: 10
lr_scheduler: 1
max_seq_length: 128
max_steps: -1
model_name_or_path: /home/xianglingyang/pretrained_models/paddle/squeezebert
model_type: squeezebert
num_train_epochs: 5
output_dir: ./tmp/QQP/
save_steps: 2000
seed: 5
task_name: QQP
warmup_proportion: 0
warmup_steps: 0
weight_decay: 0.0
------------------------------------------------
2021-08-19 15:45:45,295-INFO: unique_endpoints {''}
2021-08-19 15:45:46,298-INFO: unique_endpoints {''}
W0819 15:45:46.408764 31020 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 10.1, Runtime API Version: 10.1
W0819 15:45:46.413388 31020 device_context.cc:422] device: 0, cuDNN Version: 7.6.
[32m[2021-08-19 15:45:50,572] [    INFO][0m - Weights of SqueezeBertForSequenceClassification not initialized from pretrained model: ['classifier.weight', 'classifier.bias'][0m
global step 440/113705, epoch: 0, batch: 439, rank_id: 0, loss: 0.402359, lr: 0.0000398452, speed: 4.4127 step/s
global step 450/113705, epoch: 0, batch: 449, rank_id: 0, loss: 0.651912, lr: 0.0000398417, speed: 4.4061 step/s
global step 460/113705, epoch: 0, batch: 459, rank_id: 0, loss: 0.367385, lr: 0.0000398382, speed: 4.5155 step/s
global step 470/113705, epoch: 0, batch: 469, rank_id: 0, loss: 0.424094, lr: 0.0000398347, speed: 4.7719 step/s
global step 480/113705, epoch: 0, batch: 479, rank_id: 0, loss: 0.180975, lr: 0.0000398311, speed: 4.6040 step/s
global step 490/113705, epoch: 0, batch: 489, rank_id: 0, loss: 0.601411, lr: 0.0000398276, speed: 4.5798 step/s
global step 500/113705, epoch: 0, batch: 499, rank_id: 0, loss: 0.299347, lr: 0.0000398241, speed: 4.5441 step/s
global step 510/113705, epoch: 0, batch: 509, rank_id: 0, loss: 0.246375, lr: 0.0000398206, speed: 4.6524 step/s
global step 520/113705, epoch: 0, batch: 519, rank_id: 0, loss: 0.413631, lr: 0.0000398171, speed: 4.4801 step/s
global step 530/113705, epoch: 0, batch: 529, rank_id: 0, loss: 0.567824, lr: 0.0000398136, speed: 4.1332 step/s
global step 540/113705, epoch: 0, batch: 539, rank_id: 0, loss: 0.255605, lr: 0.0000398100, speed: 4.3208 step/s
global step 550/113705, epoch: 0, batch: 549, rank_id: 0, loss: 0.479816, lr: 0.0000398065, speed: 5.0544 step/s
global step 560/113705, epoch: 0, batch: 559, rank_id: 0, loss: 0.522463, lr: 0.0000398030, speed: 4.7813 step/s
global step 570/113705, epoch: 0, batch: 569, rank_id: 0, loss: 0.428000, lr: 0.0000397995, speed: 4.4753 step/s
global step 580/113705, epoch: 0, batch: 579, rank_id: 0, loss: 0.500857, lr: 0.0000397960, speed: 4.1367 step/s
global step 590/113705, epoch: 0, batch: 589, rank_id: 0, loss: 0.396286, lr: 0.0000397924, speed: 4.7463 step/s
global step 600/113705, epoch: 0, batch: 599, rank_id: 0, loss: 0.247439, lr: 0.0000397889, speed: 4.2946 step/s
global step 610/113705, epoch: 0, batch: 609, rank_id: 0, loss: 0.483455, lr: 0.0000397854, speed: 4.2699 step/s
global step 620/113705, epoch: 0, batch: 619, rank_id: 0, loss: 0.270907, lr: 0.0000397819, speed: 4.6934 step/s
global step 630/113705, epoch: 0, batch: 629, rank_id: 0, loss: 0.117763, lr: 0.0000397784, speed: 4.4870 step/s
global step 640/113705, epoch: 0, batch: 639, rank_id: 0, loss: 0.537042, lr: 0.0000397749, speed: 4.4685 step/s
global step 650/113705, epoch: 0, batch: 649, rank_id: 0, loss: 0.322772, lr: 0.0000397713, speed: 4.4206 step/s
global step 660/113705, epoch: 0, batch: 659, rank_id: 0, loss: 0.245305, lr: 0.0000397678, speed: 4.0984 step/s
global step 670/113705, epoch: 0, batch: 669, rank_id: 0, loss: 0.165693, lr: 0.0000397643, speed: 4.8930 step/s
global step 680/113705, epoch: 0, batch: 679, rank_id: 0, loss: 0.110308, lr: 0.0000397608, speed: 4.5494 step/s
global step 690/113705, epoch: 0, batch: 689, rank_id: 0, loss: 0.240954, lr: 0.0000397573, speed: 4.6466 step/s
global step 700/113705, epoch: 0, batch: 699, rank_id: 0, loss: 0.382428, lr: 0.0000397537, speed: 4.6262 step/s
global step 710/113705, epoch: 0, batch: 709, rank_id: 0, loss: 0.344175, lr: 0.0000397502, speed: 4.5752 step/s
global step 720/113705, epoch: 0, batch: 719, rank_id: 0, loss: 0.379057, lr: 0.0000397467, speed: 4.5982 step/s
global step 730/113705, epoch: 0, batch: 729, rank_id: 0, loss: 0.510624, lr: 0.0000397432, speed: 4.5836 step/s
global step 740/113705, epoch: 0, batch: 739, rank_id: 0, loss: 0.787948, lr: 0.0000397397, speed: 4.2681 step/s
